DEEP ANALYSIS REPORT
Generated:;2025-12-28 20:16:12
Total Matches:;1

====================================================================================================
⚽ Lazio vs Cremonese
League:;Serie A;Date:;2025-12-20
Real Result:;0-0

🔹 ALGORITMO 4
Total Simulations:;101

📊 DISTRIBUZIONE GOL CASA
Gol;Occorrenze;Percentuale
0;5;4.95%
1;15;14.85%
2;26;25.74%
3;29;28.71%
4;11;10.89%
5;7;6.93%
6;3;2.97%
7;3;2.97%
8;1;0.99%
9;1;0.99%

📊 DISTRIBUZIONE GOL TRASFERTA
Gol;Occorrenze;Percentuale
0;23;22.77%
1;40;39.6%
2;21;20.79%
3;11;10.89%
4;5;4.95%
5;1;0.99%

🏆 TOP 10 RISULTATI ESATTI
Rank;Score;Occorrenze;Percentuale
1;3-1;13;12.87%
2;2-2;8;7.92%
3;1-1;7;6.93%
4;2-1;7;6.93%
5;3-0;7;6.93%
6;2-0;5;4.95%
7;3-2;5;4.95%
8;4-1;4;3.96%
9;3-3;4;3.96%
10;2-3;4;3.96%

🎯 SEGNI 1X2
Segno;Occorrenze;Percentuale
1;63;62.38%
X;24;23.76%
2;14;13.86%

⚽ GOL/NOGOL
Tipo;Occorrenze;Percentuale
GG;74;73.27%
NG;27;26.73%

📊 UNDER/OVER
Soglia;Occorrenze;Percentuale
U0.5;1;0.99%
O0.5;100;99.01%
U1.5;7;6.93%
O1.5;94;93.07%
U2.5;21;20.79%
O2.5;80;79.21%
U3.5;37;36.63%
O3.5;64;63.37%
U4.5;62;61.39%
O4.5;39;38.61%
U5.5;76;75.25%
O5.5;25;24.75%
U6.5;86;85.15%
O6.5;15;14.85%

🏠 STATISTICHE CASA
Ha segnato:;96;95.05%
Non ha segnato:;5;4.95%
Media gol:;2.861

✈️ STATISTICHE TRASFERTA
Ha segnato:;78;77.23%
Non ha segnato:;23;22.77%
Media gol:;1.386


📊 CONFIDENCE & DEVIAZIONE STANDARD
Metrica;Valore;Confidence
Gol Casa (Std Dev);1.735;56.6%
Gol Ospite (Std Dev);1.152;71.2%
Totale Gol (Std Dev);2.027;69.6%
Confidence Globale;-;65.8%

✅ CONFRONTO CON RISULTATO REALE
Predetto:;3-1
Reale:;0-0
Match esatto:;❌
Segno corretto:;❌
Gol casa corretti:;❌
Gol trasferta corretti:;❌
GG/NG corretto:;❌
U/O 2.5 corretto:;❌

📍 Posizione risultato reale nei top
Rank:;30
Occorrenze:;1
Percentuale:;0.99%

────────────────────────────────────────────────────────────


====================================================================================================
END OF REPORT
