
=== ALGORITMO: STAT ===
League;Match;Data;Q1;QX;Q2;Real Score;Real Sign;PRED Score;PRED Sign;1X2 Outcome;Exact Score;U/O 2.5;GG/NG
Serie C - Girone A;Lumezzane vs Lecco;13/12 14:30;2.55;3.0;2.55;1-1;X;5-4;1;LOSS;LOSS;OVER;GG
Serie C - Girone A;Alcione vs Virtus Verona;13/12 17:30;1.91;3.1;3.8;0-1;2;1-4;2;WIN;LOSS;OVER;GG
Serie C - Girone A;Renate vs Trento;13/12 17:30;2.45;2.88;2.7;1-1;X;3-2;1;LOSS;LOSS;OVER;GG
Serie C - Girone A;Inter U23 vs Giana Erminio;14/12 12:30;2.15;3.0;3.2;0-1;2;0-1;2;WIN;WIN;UNDER;NG
Serie C - Girone A;Cittadella vs Novara;14/12 14:30;1.65;3.2;5.25;2-2;X;2-3;2;LOSS;LOSS;OVER;GG
Serie C - Girone A;Dolomiti vs Union Brescia;14/12 14:30;5.0;3.2;1.65;0-1;2;0-5;2;WIN;LOSS;OVER;NG
Serie C - Girone A;Pergolettese vs Vicenza;14/12 14:30;6.25;3.5;1.48;0-1;2;0-5;2;WIN;LOSS;OVER;NG
Serie C - Girone A;Ospitaletto vs Pro Vercelli;14/12 17:30;2.75;3.0;2.38;2-0;1;6-2;1;WIN;LOSS;OVER;GG
Serie C - Girone A;Triestina vs AlbinoLeffe;14/12 17:30;2.05;3.0;3.4;5-2;1;3-3;X;LOSS;LOSS;OVER;GG
Serie C - Girone A;Arzignano vs Pro Patria;14/12 20:30;1.67;3.2;4.75;2-1;1;1-0;1;WIN;LOSS;UNDER;NG
"--- PERCENTUALI ---
(Su partite finite)";;;;;;;;60.0%;10.0%;;30.0%;;70.0%


=== ALGORITMO: DIN ===
League;Match;Data;Q1;QX;Q2;Real Score;Real Sign;PRED Score;PRED Sign;1X2 Outcome;Exact Score;U/O 2.5;GG/NG
Serie C - Girone A;Lumezzane vs Lecco;13/12 14:30;2.55;3.0;2.55;1-1;X;1-2;2;LOSS;LOSS;OVER;GG
Serie C - Girone A;Alcione vs Virtus Verona;13/12 17:30;1.91;3.1;3.8;0-1;2;1-2;2;WIN;LOSS;OVER;GG
Serie C - Girone A;Renate vs Trento;13/12 17:30;2.45;2.88;2.7;1-1;X;2-1;1;LOSS;LOSS;OVER;GG
Serie C - Girone A;Inter U23 vs Giana Erminio;14/12 12:30;2.15;3.0;3.2;0-1;2;0-0;X;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Cittadella vs Novara;14/12 14:30;1.65;3.2;5.25;2-2;X;0-2;2;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Dolomiti vs Union Brescia;14/12 14:30;5.0;3.2;1.65;0-1;2;0-1;2;WIN;WIN;UNDER;NG
Serie C - Girone A;Pergolettese vs Vicenza;14/12 14:30;6.25;3.5;1.48;0-1;2;2-0;1;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Ospitaletto vs Pro Vercelli;14/12 17:30;2.75;3.0;2.38;2-0;1;3-4;2;LOSS;LOSS;OVER;GG
Serie C - Girone A;Triestina vs AlbinoLeffe;14/12 17:30;2.05;3.0;3.4;5-2;1;1-1;X;LOSS;LOSS;UNDER;GG
Serie C - Girone A;Arzignano vs Pro Patria;14/12 20:30;1.67;3.2;4.75;2-1;1;1-0;1;WIN;LOSS;UNDER;NG
"--- PERCENTUALI ---
(Su partite finite)";;;;;;;;30.0%;10.0%;;30.0%;;60.0%


=== ALGORITMO: TAT ===
League;Match;Data;Q1;QX;Q2;Real Score;Real Sign;PRED Score;PRED Sign;1X2 Outcome;Exact Score;U/O 2.5;GG/NG
Serie C - Girone A;Lumezzane vs Lecco;13/12 14:30;2.55;3.0;2.55;1-1;X;3-0;1;LOSS;LOSS;OVER;NG
Serie C - Girone A;Alcione vs Virtus Verona;13/12 17:30;1.91;3.1;3.8;0-1;2;1-1;X;LOSS;LOSS;UNDER;GG
Serie C - Girone A;Renate vs Trento;13/12 17:30;2.45;2.88;2.7;1-1;X;1-3;2;LOSS;LOSS;OVER;GG
Serie C - Girone A;Inter U23 vs Giana Erminio;14/12 12:30;2.15;3.0;3.2;0-1;2;0-3;2;WIN;LOSS;OVER;NG
Serie C - Girone A;Cittadella vs Novara;14/12 14:30;1.65;3.2;5.25;2-2;X;2-2;X;WIN;WIN;OVER;GG
Serie C - Girone A;Dolomiti vs Union Brescia;14/12 14:30;5.0;3.2;1.65;0-1;2;0-3;2;WIN;LOSS;OVER;NG
Serie C - Girone A;Pergolettese vs Vicenza;14/12 14:30;6.25;3.5;1.48;0-1;2;1-2;2;WIN;LOSS;OVER;GG
Serie C - Girone A;Ospitaletto vs Pro Vercelli;14/12 17:30;2.75;3.0;2.38;2-0;1;2-0;1;WIN;WIN;UNDER;NG
Serie C - Girone A;Triestina vs AlbinoLeffe;14/12 17:30;2.05;3.0;3.4;5-2;1;3-4;2;LOSS;LOSS;OVER;GG
Serie C - Girone A;Arzignano vs Pro Patria;14/12 20:30;1.67;3.2;4.75;2-1;1;2-1;1;WIN;WIN;OVER;GG
