
=== ALGORITMO: STAT ===
League;Match;Data;Q1;QX;Q2;Real Score;Real Sign;PRED Score;PRED Sign;1X2 Outcome;Exact Score;U/O 2.5;GG/NG
Serie C - Girone A;Novara vs Vicenza;07/12 14:30;4.5;3.1;1.75;2-2;X;1-0;1;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Union Brescia vs Lumezzane;07/12 14:30;1.44;3.6;7.0;0-1;2;0-0;X;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Pro Patria vs Dolomiti;07/12 17:30;2.38;2.9;2.88;0-2;2;0-0;X;LOSS;LOSS;UNDER;NG
Serie C - Girone A;AlbinoLeffe vs Ospitaletto;08/12 14:30;2.0;3.0;3.5;1-1;X;1-0;1;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Lecco vs Alcione;08/12 14:30;2.15;2.88;3.3;1-0;1;1-1;X;LOSS;LOSS;UNDER;GG
Serie C - Girone A;Virtus Verona vs Pergolettese;08/12 14:30;2.15;3.0;3.1;1-1;X;0-1;2;LOSS;LOSS;UNDER;NG
Serie C - Girone A;Giana Erminio vs Triestina;08/12 15:00;2.3;2.9;3.0;2-1;1;1-0;1;WIN;LOSS;UNDER;NG
Serie C - Girone B;Livorno vs Arezzo;06/12 14:30;4.0;3.2;1.8;2-1;1;0-3;2;LOSS;LOSS;OVER;NG
Serie C - Girone B;Pianese vs Gubbio;06/12 14:30;2.88;2.9;2.38;1-0;1;2-0;1;WIN;LOSS;UNDER;NG
Serie C - Girone B;Bra vs Campobasso;06/12 17:30;3.0;3.1;2.2;2-0;1;1-1;X;LOSS;LOSS;UNDER;GG
Serie C - Girone B;Guidonia vs Juve Next Gen;07/12 12:30;-;-;-;1-1;X;0-0;X;WIN;LOSS;UNDER;NG
Serie C - Girone B;Perugia vs Ternana;07/12 14:30;2.5;2.88;2.75;1-2;2;0-0;X;LOSS;LOSS;UNDER;NG
Serie C - Girone B;Torres vs Pineto;07/12 14:30;2.5;2.88;2.75;1-1;X;0-1;2;LOSS;LOSS;UNDER;NG
Serie C - Girone B;Ravenna vs Pontedera;07/12 17:30;1.53;3.6;5.5;2-1;1;3-0;1;WIN;LOSS;OVER;NG
Serie C - Girone B;Ascoli vs Forlì;08/12 14:30;-;-;-;3-0;1;1-0;1;WIN;LOSS;UNDER;NG
Serie C - Girone B;Carpi vs Vis Pesaro;08/12 14:30;2.3;2.9;3.0;1-1;X;0-0;X;WIN;LOSS;UNDER;NG
Serie C - Girone C;Catania vs Crotone;05/12 20:30;1.83;3.1;4.0;2-0;1;2-1;1;WIN;LOSS;OVER;GG
Serie C - Girone C;Casarano vs Latina;06/12 14:30;1.83;3.25;3.9;1-1;X;0-0;X;WIN;LOSS;UNDER;NG
Serie C - Girone C;Siracusa vs Foggia;06/12 14:30;1.73;3.4;4.2;2-2;X;1-1;X;WIN;LOSS;UNDER;GG
Serie C - Girone C;Sorrento vs Potenza;06/12 14:30;2.63;3.2;2.38;2-2;X;1-2;2;LOSS;LOSS;OVER;GG
Serie C - Girone C;Giugliano vs Team Altamura;06/12 17:30;1.95;3.25;3.4;0-1;2;1-0;1;LOSS;LOSS;UNDER;NG
Serie C - Girone C;Monopoli vs Atalanta U23;07/12 14:30;2.3;3.2;2.75;1-1;X;0-0;X;WIN;LOSS;UNDER;NG
Serie C - Girone C;Salernitana vs Trapani;07/12 14:30;1.75;3.3;4.1;1-1;X;1-0;1;LOSS;LOSS;UNDER;NG
Serie C - Girone C;Cerignola vs Casertana;07/12 17:30;1.9;3.1;3.7;1-1;X;0-3;2;LOSS;LOSS;OVER;NG
Serie C - Girone C;Cavese vs Benevento;07/12 17:30;4.33;3.3;1.75;0-1;2;0-3;2;WIN;LOSS;OVER;NG
Serie C - Girone C;Cosenza vs Picerno;07/12 17:30;1.44;3.8;6.5;1-0;1;3-1;1;WIN;LOSS;OVER;GG
"--- PERCENTUALI ---
(Su partite finite)";;;;;;;;41.9%;4.8%;;59.0%;;41.9%

